target	qemu	renode	agree
cm7-tests-arch-arm-arm_hardfault_validation	FAIL	PASS	NO
cm7-tests-arch-arm-arm_interrupt	FAIL	PASS	NO
cm7-tests-kernel-common	FAIL	PASS	NO
cm7-tests-kernel-context	FAIL	PASS	NO
cm7-tests-kernel-fifo-fifo_api	FAIL	PASS	NO
cm7-tests-kernel-mutex-mutex_api	FAIL	FAIL	YES
cm7-tests-kernel-poll	FAIL	PASS	NO
cm7-tests-kernel-sched-schedule_api	FAIL	FAIL	YES
cm7-tests-kernel-threads-thread_apis	FAIL	PASS	NO
cm7-tests-kernel-timer-timer_api	FAIL	PASS	NO
cm7-tests-kernel-workq-work	FAIL	PASS	NO
