# core	sample	build	run	oracle	sha256	console	note
cm7	samples/hello_world	OK	PASS	Hello World! mimxrt1180_evk	0e6c9707cfb6c8db283bb9b744f041f6f72ee335ab6e9fbaae91a0258e06de1b	console/cm7-samples-hello_world.txt	-
cm7	samples/synchronization	OK	PASS	thread_a: Hello World	1077a9f3360dc612d47dc6e2376f394727ed4581779cee0ed47a2a6700b38a09	console/cm7-samples-synchronization.txt	-
cm7	samples/philosophers	OK	PASS	Demo Description	e67eeaa15a905053a25ff6a20d394767be38a447372d15852f8b0022873a8c58	console/cm7-samples-philosophers.txt	-
cm7	tests/kernel/common	OK	PASS	PROJECT EXECUTION SUCCESSFUL	4da6b924600cc70c6e7389802427369b992d2e07278077745172d3a21b88a3cd	console/cm7-tests-kernel-common.txt	-
cm7	tests/kernel/threads/thread_apis	OK	PASS	PROJECT EXECUTION SUCCESSFUL	0c8054e1389fc44cf1b0d0bf507e1706164a5bb76cd868ce016df5433d720166	console/cm7-tests-kernel-threads-thread_apis.txt	-
cm7	tests/kernel/timer/timer_api	OK	PASS	PROJECT EXECUTION SUCCESSFUL	04aad4dc60598ae7b83508f99ceebae9bae7201dacfdd448c5d57de4a75a8eb5	console/cm7-tests-kernel-timer-timer_api.txt	-
cm7	tests/kernel/context	OK	PASS	PROJECT EXECUTION SUCCESSFUL	77ca6109d5209ef68b2b232980fe8d87d0c41e967158e0bf685a6fa205b72af2	console/cm7-tests-kernel-context.txt	-
cm7	tests/arch/arm/arm_interrupt	OK	PASS	PROJECT EXECUTION SUCCESSFUL	b0d697dca14603c856ee5cbaf81024b491df9dd574181def49843797b854c301	console/cm7-tests-arch-arm-arm_interrupt.txt	-
cm7	tests/kernel/fifo/fifo_api	OK	PASS	PROJECT EXECUTION SUCCESSFUL	ebf1a5f23c7cc2e96a043694afbdb734ba958c09b53f56eceae5d947411a116a	console/cm7-tests-kernel-fifo-fifo_api.txt	-
cm7	tests/kernel/poll	OK	PASS	PROJECT EXECUTION SUCCESSFUL	ba4b405d561a38eebdc296616ffc3e37067420a6acb9027b4aa3e0c35f252306	console/cm7-tests-kernel-poll.txt	-
cm7	tests/kernel/workq/work	OK	PASS	PROJECT EXECUTION SUCCESSFUL	ef252c3103748db744fbe3df6ddd8bd8dc9bfaa61e408621d461b19690a8a3cb	console/cm7-tests-kernel-workq-work.txt	-
cm7	tests/arch/arm/arm_hardfault_validation	OK	PASS	PROJECT EXECUTION SUCCESSFUL	6e4da7caf9e0dc786d2217576aad7533d9e1f4d672f6a36b6673e92cddaa751b	console/cm7-tests-arch-arm-arm_hardfault_validation.txt	-
