target	qemu_lines	renode_lines	class	diff_lines	unexplained
cm33-hello_world	2	2	identical	0	0
cm33-samples-hello_world	2	2	identical	0	0
cm33-samples-kernel-condition_variables-simple	162	162	identical	0	0
cm33-samples-philosophers	569	1087	len+content	528	528
cm33-samples-subsys-logging-logger	143	158	len+content	247	2
cm33-samples-synchronization	33	55	identical	0	0
cm33-synchronization	33	54	identical	0	0
cm33-tests-arch-arm-arm_custom_interrupt	21	21	identical	0	0
cm33-tests-arch-arm-arm_hardfault_validation	39	39	identical	0	0
cm33-tests-arch-arm-arm_interrupt	83	30	len+content	67	49
cm33-tests-arch-arm-arm_irq_advanced_features	27	27	identical	0	0
cm33-tests-arch-arm-arm_irq_vector_table	18	18	identical	0	0
cm33-tests-arch-arm-arm_mpu_wt	24	50	len+content	46	39
cm33-tests-arch-arm-arm_runtime_nmi	20	20	identical	0	0
cm33-tests-arch-arm-arm_thread_swap	29	16	len+content	33	24
cm33-tests-kernel-cache	25	25	identical	0	0
cm33-tests-kernel-cleanup	49	49	identical	0	0
cm33-tests-kernel-common	394	394	timing/nondet	32	0
cm33-tests-kernel-condvar-condvar_api	123	123	identical	0	0
cm33-tests-kernel-context	92	92	identical	0	0
cm33-tests-kernel-device	116	114	len+content	4	4
cm33-tests-kernel-early_sleep	22	22	CONTENT	2	2
cm33-tests-kernel-events-event_api	33	33	identical	0	0
cm33-tests-kernel-fifo-fifo_api	210	210	timing/nondet	6	0
cm33-tests-kernel-fifo-fifo_timeout	42	42	identical	0	0
cm33-tests-kernel-lifo-lifo_api	208	208	timing/nondet	6	0
cm33-tests-kernel-mbox-mbox_api	85	85	identical	0	0
cm33-tests-kernel-mem_heap-k_heap_api	112	112	identical	0	0
cm33-tests-kernel-mem_protect-protection	85	85	identical	0	0
cm33-tests-kernel-mem_protect-stackprot	62	62	timing/nondet	2	0
cm33-tests-kernel-mem_slab-mslab_api	49	49	identical	0	0
cm33-tests-kernel-mem_slab-mslab	37	37	identical	0	0
cm33-tests-kernel-msgq-msgq_api	90	90	identical	0	0
cm33-tests-kernel-mutex-mutex_api	68	68	identical	0	0
cm33-tests-kernel-mutex-mutex_error_case	109	109	identical	0	0
cm33-tests-kernel-pipe-pipe_api	99	99	timing/nondet	8	0
cm33-tests-kernel-poll	216	216	timing/nondet	6	0
cm33-tests-kernel-queue	254	254	timing/nondet	6	0
cm33-tests-kernel-sched-schedule_api	217	217	timing/nondet	3	0
cm33-tests-kernel-semaphore-semaphore	218	218	timing/nondet	6	0
cm33-tests-kernel-sleep	25	25	identical	0	0
cm33-tests-kernel-threads-thread_apis	249	247	len+content	10	4
cm33-tests-kernel-threads-thread_stack	179	179	timing/nondet	6	0
cm33-tests-kernel-timer-timer_api	73	73	timing/nondet	6	0
cm33-tests-kernel-timer-timer_monotonic	21	21	timing/nondet	8	0
cm33-tests-kernel-workq-work	144	144	identical	0	0
cm33-tests-lib-cbprintf_fp	3	3	identical	0	0
cm33-tests-lib-cbprintf_package	106	106	timing/nondet	6	0
cm33-tests-lib-cmsis_nn	41	41	identical	0	0
cm33-tests-lib-cobs	57	57	timing/nondet	18	0
cm33-tests-lib-fdtable	41	41	identical	0	0
cm33-tests-lib-hash_function	17	17	timing/nondet	6	0
cm33-tests-lib-hash_map	74	74	timing/nondet	14	0
cm33-tests-lib-heap_align	17	17	timing/nondet	6	0
cm33-tests-lib-heap	54	54	timing/nondet	18	0
cm33-tests-lib-heap_min	24	24	identical	0	0
cm33-tests-lib-json	304	304	timing/nondet	10	0
cm33-tests-lib-linear_range	37	37	identical	0	0
cm33-tests-lib-lockfree	61	61	timing/nondet	16	0
cm33-tests-lib-mem_alloc	55	55	timing/nondet	6	0
cm33-tests-subsys-bindesc-definition	29	29	identical	0	0
cm33-tests-subsys-cpu_freq-thermal_cap	40	40	identical	0	0
cm33-tests-subsys-crc	70	70	identical	0	0
cm33-tests-subsys-debug-assert_custom_header	17	17	identical	0	0
cm33-tests-subsys-debug-coredump_backends	63	63	identical	0	0
cm33-tests-subsys-debug-coredump	26	26	identical	0	0
cm33-tests-subsys-logging-log_api	250	250	timing/nondet	16	0
cm7-hello_world	2	2	identical	0	0
cm7-samples-hello_world	2	2	identical	0	0
cm7-samples-philosophers	232	1107	partial	0	0
cm7-samples-synchronization	11	20	identical	0	0
cm7-synchronization	11	21	identical	0	0
cm7-tests-arch-arm-arm_hardfault_validation	39	39	identical	0	0
cm7-tests-arch-arm-arm_interrupt	83	83	CONTENT	6	4
cm7-tests-kernel-common	394	394	timing/nondet	6	0
cm7-tests-kernel-context	92	92	identical	0	0
cm7-tests-kernel-fifo-fifo_api	210	210	timing/nondet	6	0
cm7-tests-kernel-mutex-mutex_api	68	68	identical	0	0
cm7-tests-kernel-poll	216	216	identical	0	0
cm7-tests-kernel-sched-schedule_api	217	217	identical	0	0
cm7-tests-kernel-threads-thread_apis	249	249	identical	0	0
cm7-tests-kernel-timer-timer_api	73	73	timing/nondet	6	0
cm7-tests-kernel-workq-work	144	144	identical	0	0
