target	qemu_lines	renode_lines	raw	class	diff_lines	nondur_lines
cm33-hello_world	2	2	identical	UNSCOREABLE	0	0
cm33-samples-hello_world	2	2	identical	UNSCOREABLE	0	0
cm33-samples-kernel-condition_variables-simple	162	162	identical	UNSCOREABLE	0	0
cm33-samples-philosophers	5276	2134	DIFFER	UNSCOREABLE	3158	3158
cm33-samples-subsys-logging-logger	165	158	DIFFER	UNSCOREABLE	269	269
cm33-samples-synchronization	331	151	partial	UNSCOREABLE	180	180
cm33-synchronization	331	151	partial	UNSCOREABLE	180	180
cm33-tests-arch-arm-arm_custom_interrupt	21	21	identical	identical	0	0
cm33-tests-arch-arm-arm_hardfault_validation	39	39	identical	identical	0	0
cm33-tests-arch-arm-arm_interrupt	83	83	DIFFER	timing-only	6	0
cm33-tests-arch-arm-arm_irq_advanced_features	27	27	identical	identical	0	0
cm33-tests-arch-arm-arm_irq_vector_table	18	18	identical	identical	0	0
cm33-tests-arch-arm-arm_mpu_wt	24	24	identical	UNSCOREABLE	0	0
cm33-tests-arch-arm-arm_runtime_nmi	20	20	identical	identical	0	0
cm33-tests-arch-arm-arm_thread_swap	29	29	identical	identical	0	0
cm33-tests-kernel-cache	25	25	identical	identical	0	0
cm33-tests-kernel-cleanup	49	49	identical	identical	0	0
cm33-tests-kernel-common	394	394	DIFFER	timing-only	32	0
cm33-tests-kernel-condvar-condvar_api	123	123	identical	identical	0	0
cm33-tests-kernel-context	92	92	identical	identical	0	0
cm33-tests-kernel-device	116	116	identical	identical	0	0
cm33-tests-kernel-early_sleep	22	22	identical	identical	0	0
cm33-tests-kernel-events-event_api	33	33	identical	identical	0	0
cm33-tests-kernel-fifo-fifo_api	210	210	DIFFER	timing-only	6	0
cm33-tests-kernel-fifo-fifo_timeout	42	42	identical	identical	0	0
cm33-tests-kernel-lifo-lifo_api	208	208	DIFFER	timing-only	6	0
cm33-tests-kernel-mbox-mbox_api	85	85	identical	identical	0	0
